Tracheal,Mic,nasal,resp
1.5127412832836443e-05,0.0006786818748251539,0.0,0.0
1.5443401744613753e-05,-0.00024942651509371515,0.0,0.0
1.6023244576688257e-05,-0.00023571119757890007,0.0,0.0
1.5418605834032376e-05,0.0003532450853233637,0.0,0.0
1.6338597695887167e-05,2.7983138780801734e-05,0.0,0.0
1.4937310851707841e-05,0.00015609534345515212,0.0,0.0
1.6027695124739773e-05,-8.279163805600099e-05,0.0,0.0
1.4637852546984307e-05,0.00013316739147020573,0.0,0.0
8.62071157905427e-06,0.0002373699804175902,0.0,0.0
2.40742860049315e-05,-0.00028327611200121885,0.0,0.0
1.346036469062202e-05,-0.0002146569263243547,0.0,0.0
1.601625085831961e-05,0.00030022761374329243,0.0,0.0
1.7179751277942817e-05,-0.00036021718674499384,0.0,0.0
1.4142570127921086e-05,0.000519986139721776,0.0,0.0
1.556420233462927e-05,-0.00036269423463289384,0.0,0.0
1.5033951323719565e-05,0.00022636186770427875,0.0,0.0
1.619172961013105e-05,-0.00032270987513033605,0.0,0.0
1.5590905622949477e-05,0.00016326771953917627,0.0,0.0
6.631316599271782e-06,0.00018853220925205645,0.0,0.0
2.597848477912364e-05,-2.4928155438567805e-05,0.0,0.0
1.3582436865796488e-05,0.00010665611250985639,0.0,0.0
1.560044251163438e-05,7.3779914040845e-05,0.0,0.0
1.4682358027516935e-05,-0.00026383548231225076,0.0,0.0
1.6432694997583976e-05,0.00029049680832125136,0.0,0.0
1.44922560463869e-05,9.552338445105607e-05,0.0,0.0
1.5090536863252728e-05,-0.00026588782075735696,0.0,0.0
1.4831133491010108e-05,-0.00012158261488772056,0.0,0.0
1.5997812873527735e-05,0.00025509842069123455,0.0,0.0
1.5944406296889845e-05,0.0003207719793494566,0.0,0.0
1.567483024338075e-05,-0.00020225070572976048,0.0,0.0
1.5309249510439625e-05,-0.0005234861778693311,0.0,0.0
1.4675364309147486e-05,0.0003350722260369766,0.0,0.0
1.4826682942954227e-05,0.0002224746318760981,0.0,0.0
1.5152208743419316e-05,0.0002744697489890879,0.0,0.0
1.399315887184858e-05,-0.00029615409068945174,0.0,0.0
1.4470003306120987e-05,-0.0003638640929783053,0.0,0.0
1.4517051956968794e-05,0.0006626573586633081,0.0,0.0
1.6330968184938506e-05,-0.00029056038757915744,0.0,0.0
1.4513872994073586e-05,-7.875499097174314e-05,0.0,0.0
1.4654383154039626e-05,0.0003361181048294805,0.0,0.0
8.438874901450506e-06,-0.00010992090740316626,0.0,0.0
2.0029373617150283e-05,-0.00028427112738740054,0.0,0.0
1.5601078304213593e-05,-0.00011424048218509244,0.0,0.0
